CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_SERV,
dummy,,,,,,,,,,,,,,,,,,,,,
01644,8710,-383,371.91,23.4,3395,-,0,1204,5228,2278,12,8717,4314,1122,1024,2162,1116,480,695,958,
01645,4164,-355,536.52,7.8,1471,-,0,586,2469,1109,24,4196,2442,1062,444,932,974,85,160,494,
01646,10021,-315,391.99,25.6,3999,-,0,1270,6350,2401,23,10271,5628,1357,1623,2647,1357,418,798,1222,
01647,8871,-651,1408.09,6.3,3573,-,0,1132,5398,2341,18,8855,4845,1241,1068,2535,1239,296,752,1182,
01648,3228,-201,608.81,5.3,1299,-,0,385,1909,922,2,3164,1630,489,337,792,489,82,155,437,
01649,6846,-775,729.64,9.4,2525,-,0,961,4175,1706,10,6674,3533,1204,689,1638,1116,258,389,882,
01661,22478,492,252.56,89,7886,-,12486,4144,15638,2696,26,19737,9030,979,2167,5876,174,655,2132,1840,
01662,12307,-769,734.82,16.7,4320,-,5389,1997,7758,2552,32,12293,6918,2188,1515,3215,488,878,1035,1537,
01663,7335,-531,427.65,17.2,2340,-,0,1222,4590,1523,4,7345,4582,2386,611,1584,702,238,416,808,
01664,9388,-627,1099.56,8.5,3406,-,0,1449,5910,2029,11,9453,5076,1472,941,2663,1459,206,730,1329,
01665,9493,-461,774.7,12.3,3977,-,0,1286,6057,2145,23,9646,5281,627,981,3669,624,187,1080,1976,
01666,6796,-254,739.37,9.2,2959,-,0,904,4463,1429,11,6954,3996,417,602,2973,404,209,655,1829,
01667,2728,-31,572,4.8,915,-,0,399,1665,664,12,2839,1564,483,208,873,474,43,96,646,
01668,11359,-948,773.67,14.7,4333,-,0,1629,7172,2558,16,11304,5647,736,2373,2534,484,1755,780,1097,
01669,3031,-276,401.4,7.6,1090,-,0,482,1879,670,3,3197,1595,239,688,668,239,532,137,341,
01691,16910,-639,1320.19,12.8,5553,-,0,3023,10899,2988,38,17179,9722,3730,1808,4184,3177,811,969,2067,
01692,23179,853,684.98,33.8,9138,-,9988,3927,15935,3293,41,22980,12357,1573,2665,8102,1559,521,3142,3576,
01693,6298,-789,624.46,10.1,2279,-,0,1111,4054,1133,3,6515,3723,1117,942,1662,636,484,451,767,
01694,6956,-515,397.84,17.5,2355,-,0,1297,4579,1080,6,7094,4137,1753,851,1532,40,482,505,646,
01695,0,0,253.33,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01696,0,0,538.56,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01697,0,0,960.27,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01698,0,0,1450.24,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01699,0,0,973.3,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01700,0,0,760.5,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02201,297859,3692,692.39,430.2,112487,-,241322,43973,203219,50503,688,305777,148416,3484,29298,113689,2921,11665,39496,44991,
02202,177086,-886,273.81,646.7,64091,-,125803,25839,117069,34091,429,190125,94783,13200,20096,61268,13194,10863,22896,26446,
02203,241920,-734,213.97,1130.6,86695,-,169749,39440,164148,38167,528,257310,128204,4755,36200,86701,2801,19979,31593,33223,
02204,39059,55,216.96,180,11637,-,18591,6235,24921,7903,38,37739,19181,3640,5677,9850,3640,3095,3592,4335,
02205,49193,644,166.86,294.8,16814,-,16855,7759,31584,9611,63,52057,25379,3727,6607,14993,3725,3182,5543,6587,
02206,63363,945,316.79,200,22447,-,28627,10147,42165,11051,135,64272,33384,4271,9966,19113,4269,4952,6504,9242,
02207,42495,890,119.97,354.2,15636,-,25311,7651,28055,6724,241,44209,23166,1823,5271,16030,1691,2463,4006,6516,
02208,49341,458,245.88,200.7,18277,-,25785,8314,32961,8066,62,50549,24448,891,5670,17878,606,2086,5745,6186,
02301,14528,-913,216.92,67,4371,-,0,1923,9254,3351,18,12916,6277,2068,1442,2763,485,653,813,1497,
02302,4010,-322,116.39,34.5,1370,-,0,529,2366,1115,2,3764,1805,409,521,874,186,179,234,398,
02303,4124,-613,125.26,32.9,1556,-,0,465,2329,1330,3,3985,1599,290,531,777,182,187,146,421,
02304,3480,-306,80.59,43.2,981,-,0,480,2054,946,0,2887,1366,563,368,434,404,223,102,217,
02305,2451,-82,48.19,50.9,758,-,0,224,1457,770,12,2309,1049,315,339,393,55,177,78,217,
02306,2709,-239,65.27,41.5,1002,-,0,261,1572,876,0,2642,1168,291,365,512,12,131,129,223,
02321,13551,-526,342.99,39.5,4340,-,0,1875,7969,3707,18,13549,6516,1543,1598,3374,1440,505,994,1682,
02322,19988,-896,120.07,166.5,5642,-,0,2584,12265,5139,12,18894,8634,3402,1933,3294,3395,696,890,1750,
02323,8954,-561,315.19,28.4,2826,-,0,1165,5358,2431,24,8535,3947,977,1452,1518,444,519,469,733,
02324,5116,84,24.12,212.1,1346,-,0,766,3126,1224,4,4841,2262,751,529,980,751,300,284,511,
02325,2845,-186,173.58,16.4,1064,-,0,262,1626,957,5,2710,1222,225,512,485,131,180,144,209,
02326,5155,206,14.32,360,1536,-,0,808,3256,1091,66,5429,3181,779,444,1957,779,220,1181,616,
02327,5120,-292,33.17,154.4,1330,-,0,724,3115,1281,2,4442,1932,888,431,613,888,122,113,366,
02328,5941,-166,62.17,95.6,1618,-,0,877,3740,1324,8,5748,2845,878,937,1024,809,466,219,342,
02341,12278,-119,146.25,84,3217,-,0,1809,7534,2935,1,11239,6171,2726,1247,2194,2726,594,578,1229,
02342,3853,25,103.54,37.2,988,-,0,603,2322,928,3,3357,2017,1356,180,481,1355,59,88,308,
02343,2049,-89,246.58,8.3,601,-,0,240,1131,678,0,1798,907,369,154,384,367,21,35,248,
02361,10327,-68,22.01,469.2,2920,-,0,1571,6440,2316,5,8961,4570,1732,770,2065,1732,329,894,908,
02362,12881,-1109,163.4,78.8,3921,-,0,1648,7897,3332,3,10903,5048,1609,1107,2325,1609,559,750,1164,
02363,10167,151,18.87,538.8,2753,-,0,1466,6480,2221,9,8556,4147,1250,1209,1687,1250,731,670,806,
02364,20873,123,132.13,158,6056,-,0,3072,13259,4514,30,18543,9249,2766,1981,4476,2765,982,1655,2096,
02365,22861,-325,221.61,103.2,6007,-,5465,3340,14545,4976,10,20409,10517,3614,3149,3753,3602,1865,1245,1856,
02366,6531,-14,15.19,430,1706,-,0,938,4056,1537,8,5504,2583,782,750,1050,782,315,292,583,
02367,8835,-316,22.31,396,2343,-,0,1247,5548,2040,2,7372,3697,1114,1527,1056,1112,1067,240,573,
02368,3426,-248,105.33,32.5,1066,-,0,401,2035,990,7,2994,1354,330,235,787,330,106,147,505,
02381,16840,-480,41.81,402.8,4828,-,0,2399,10599,3842,15,15283,8055,3640,1607,2790,3639,846,1071,1159,
02382,11104,-657,125.97,88.1,3598,-,0,1491,6668,2945,14,10533,4528,967,1333,2226,967,433,749,1088,
02383,11087,-600,151.63,73.1,3181,-,0,1526,6854,2707,27,10721,4872,1262,1948,1658,1260,638,565,717,
02384,15795,-331,46.38,340.6,4396,-,0,2310,9741,3744,26,14435,7333,3127,2039,2162,3126,1275,630,1121,
