ESTIMATE,CODE,CODE4,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KYOSAN,H_KOKUMIN,H_REIWA,H_SHAMIN,H_NHK,H_OTHER
dummy,dummy,dummy,,,,,,,,,,,,,,,
,01425,0110,2486 ,1655 ,1609 ,1655 ,1576 ,362 ,301 ,491.044 ,69 ,205 ,27.955 ,54 ,23 ,18 ,25 
,01427,0110,4349 ,3247 ,3149 ,3246 ,3133 ,1036 ,455 ,923.282 ,196 ,180 ,63.717 ,121 ,56 ,46 ,56 
,01428,0110,9100 ,5891 ,5679 ,5893 ,5587 ,2176 ,703 ,1249.032 ,351 ,447 ,148.967 ,249 ,77 ,93 ,93 
,01429,0110,9957 ,6736 ,6535 ,6736 ,6571 ,2199 ,977 ,1793.347 ,445 ,462 ,142.652 ,237 ,103 ,106 ,106 
,01430,0110,2705 ,1936 ,1854 ,1935 ,1832 ,671 ,217 ,523.090 ,119 ,79 ,45.909 ,74 ,42 ,20 ,41 
,01431,0110,1502 ,1032 ,1011 ,1032 ,985 ,362 ,106 ,330.850 ,41 ,53 ,24.149 ,27 ,18 ,6 ,17 
,01432,0110,5598 ,3998 ,3895 ,3998 ,3827 ,1450 ,498 ,1084.086 ,189 ,208 ,98.913 ,128 ,55 ,54 ,62 
,01433,0110,2485 ,1778 ,1746 ,1778 ,1729 ,771 ,195 ,499.810 ,67 ,67 ,25.189 ,49 ,21 ,15 ,19 
,01434,0110,2072 ,1507 ,1478 ,1507 ,1453 ,637 ,166 ,392.676 ,62 ,65 ,29.323 ,42 ,15 ,28 ,16 
,01436,0110,1987 ,1518 ,1474 ,1518 ,1468 ,560 ,157 ,447.403 ,77 ,59 ,31.596 ,64 ,24 ,19 ,29 
,01437,0110,1526 ,1211 ,1181 ,1210 ,1160 ,419 ,108 ,449.772 ,50 ,47 ,22.227 ,33 ,16 ,9 ,6 
,01438,0110,2650 ,2014 ,1976 ,2014 ,1953 ,762 ,193 ,582.059 ,107 ,136 ,53.940 ,57 ,25 ,19 ,18 
,01452,0106,5697 ,3597 ,3544 ,3595 ,3438 ,1178 ,360 ,1058.545 ,229 ,192 ,79.454 ,138 ,64 ,86 ,53 
,01453,0106,8253 ,5311 ,5215 ,5310 ,5141 ,1637 ,502 ,1587.227 ,374 ,313 ,161.772 ,262 ,100 ,127 ,77 
,01454,0106,5491 ,3449 ,3390 ,3449 ,3351 ,1131 ,445 ,918.461 ,213 ,291 ,76.538 ,131 ,55 ,55 ,35 
,01455,0106,3127 ,2202 ,2171 ,2202 ,2164 ,787 ,190 ,664.706 ,117 ,193 ,45.293 ,66 ,38 ,36 ,27 
,01456,0106,2318 ,1714 ,1685 ,1714 ,1561 ,649 ,184 ,425.585 ,76 ,55 ,27.414 ,63 ,35 ,26 ,20 
,01457,0106,2992 ,2141 ,2096 ,2140 ,2080 ,689 ,150 ,775.754 ,104 ,145 ,39.245 ,61 ,64 ,24 ,28 
,01458,0106,6783 ,4430 ,4340 ,4430 ,4226 ,1369 ,400 ,1088.684 ,295 ,477 ,103.315 ,239 ,93 ,94 ,67 
,01459,0106,8467 ,5552 ,5461 ,5552 ,5369 ,1967 ,454 ,1519.754 ,373 ,428 ,133.245 ,220 ,88 ,95 ,91 
,01460,0106,8922 ,5851 ,5681 ,5850 ,5578 ,2919 ,457 ,1154.092 ,305 ,198 ,91.907 ,199 ,62 ,105 ,87 
,01461,0106,4057 ,2876 ,2831 ,2876 ,2761 ,1190 ,266 ,661.978 ,162 ,174 ,58.021 ,129 ,43 ,38 ,39 
,01462,0106,2040 ,1504 ,1473 ,1504 ,1448 ,449 ,202 ,435.255 ,80 ,46 ,47.744 ,79 ,48 ,35 ,26 
,01463,0106,966 ,679 ,659 ,679 ,657 ,185 ,73 ,145.800 ,32 ,26 ,16.200 ,24 ,145 ,5 ,5 
,01464,0106,2754 ,2122 ,2081 ,2122 ,2057 ,697 ,374 ,589.048 ,81 ,120 ,35.951 ,72 ,30 ,30 ,28 
,01465,0106,2605 ,1891 ,1843 ,1891 ,1788 ,655 ,126 ,646.704 ,101 ,80 ,33.295 ,52 ,45 ,24 ,25 
,01468,0106,2719 ,2036 ,1995 ,2036 ,1933 ,732 ,259 ,582.684 ,95 ,56 ,41.315 ,83 ,43 ,25 ,16 
,01469,0106,3558 ,2503 ,2433 ,2503 ,2424 ,1010 ,189 ,753.890 ,116 ,88 ,49.109 ,91 ,48 ,42 ,37 
,01470,0106,557 ,460 ,451 ,460 ,446 ,132 ,35 ,191.976 ,18 ,20 ,7.023 ,11 ,23 ,5 ,3 
,01471,0106,1250 ,953 ,935 ,953 ,920 ,293 ,226 ,279.786 ,26 ,21 ,23.213 ,19 ,12 ,13 ,7 
,01472,0106,1179 ,916 ,894 ,916 ,881 ,412 ,121 ,197.844 ,36 ,39 ,27.155 ,22 ,10 ,11 ,5 
,01481,0110,3532 ,2541 ,2486 ,2540 ,2398 ,867 ,376 ,633.373 ,143 ,122 ,37.626 ,112 ,34 ,26 ,47 
,01482,0110,2565 ,2000 ,1937 ,2000 ,1890 ,805 ,235 ,482.661 ,124 ,57 ,42.338 ,70 ,35 ,17 ,22 
,01483,0110,2542 ,1882 ,1843 ,1882 ,1798 ,701 ,271 ,503.002 ,86 ,73 ,31.997 ,72 ,19 ,14 ,27 
,01484,0110,5760 ,4129 ,4025 ,4129 ,3927 ,1446 ,562 ,1164.304 ,235 ,125 ,79.695 ,127 ,80 ,43 ,65 
,01485,0110,999 ,819 ,805 ,819 ,783 ,349 ,90 ,205.474 ,41 ,27 ,9.525 ,26 ,11 ,8 ,16 
,01486,0110,2143 ,1607 ,1572 ,1607 ,1517 ,639 ,249 ,368.190 ,67 ,48 ,21.809 ,68 ,25 ,18 ,13 
,01487,0110,2503 ,1874 ,1825 ,1874 ,1767 ,778 ,231 ,389.764 ,143 ,49 ,31.235 ,67 ,29 ,17 ,32 
,01511,0112,2086 ,1477 ,1452 ,1477 ,1436 ,668 ,157 ,333.326 ,78 ,71 ,28.673 ,49 ,17 ,13 ,21 
,01512,0112,3002 ,2155 ,2102 ,2155 ,2071 ,802 ,262 ,550.894 ,88 ,155 ,54.105 ,80 ,34 ,25 ,20 
,01513,0112,1453 ,1006 ,975 ,1006 ,986 ,409 ,105 ,255.528 ,34 ,84 ,17.472 ,36 ,26 ,10 ,9 
,01514,0112,6627 ,4233 ,4135 ,4233 ,4140 ,1703 ,722 ,871.943 ,216 ,231 ,55.056 ,164 ,66 ,44 ,67 
,01516,0112,3257 ,2181 ,2123 ,2181 ,2071 ,882 ,171 ,486.267 ,127 ,179 ,46.732 ,93 ,31 ,28 ,27 
,01517,0112,2065 ,1523 ,1488 ,1523 ,1476 ,760 ,167 ,239.250 ,81 ,72 ,24.750 ,75 ,14 ,18 ,25 
,01518,0112,1712 ,1443 ,1390 ,1443 ,1389 ,600 ,349 ,226.285 ,44 ,55 ,13.714 ,55 ,12 ,13 ,21 
,01519,0112,2048 ,1850 ,1745 ,1850 ,1731 ,993 ,188 ,239.516 ,78 ,59 ,28.483 ,80 ,18 ,24 ,23 
,01520,0112,1902 ,1342 ,1314 ,1342 ,1292 ,648 ,149 ,212.696 ,77 ,65 ,43.303 ,50 ,13 ,16 ,18 
,01543,0112,16296 ,9522 ,9310 ,9521 ,9150 ,4050 ,814 ,1939.773 ,736 ,578 ,180.226 ,353 ,141 ,183 ,175 
,01544,0112,3936 ,2491 ,2441 ,2491 ,2405 ,857 ,190 ,763.752 ,153 ,249 ,38.247 ,73 ,33 ,33 ,15 
,01545,0112,9425 ,5778 ,5627 ,5777 ,5568 ,2083 ,658 ,1467.369 ,373 ,290 ,105.630 ,282 ,132 ,82 ,95 
,01546,0112,3353 ,2386 ,2323 ,2383 ,2323 ,960 ,182 ,716.203 ,168 ,81 ,43.796 ,72 ,41 ,29 ,30 
,01547,0112,3976 ,2497 ,2452 ,2498 ,2445 ,892 ,263 ,616.325 ,148 ,243 ,54.674 ,95 ,62 ,34 ,37 
,01549,0112,4074 ,2685 ,2623 ,2685 ,2616 ,1038 ,212 ,673.502 ,186 ,225 ,52.497 ,103 ,38 ,42 ,46 
,01550,0112,2408 ,1802 ,1751 ,1800 ,1738 ,689 ,153 ,546.362 ,106 ,82 ,30.637 ,56 ,30 ,20 ,25 
,01552,0112,4113 ,2775 ,2718 ,2775 ,2684 ,1225 ,210 ,628.973 ,199 ,142 ,60.026 ,96 ,52 ,30 ,41 
