CODE,POPULATION,AREA,OFFICE,WORKER,O_PRIVATE,O_1ST,O_2ND,O_3RD,W_PRIVATE,W_1ST,W_2ND,W_3RD,ADD_VALUE,SALES_EST,SALES_AGRI,SALES_MINI,SALES_CONS,SALES_MANU,SALES_SUPP,SALES_INFO,SALES_TRAN,SALES_SALE,SALES_FINA,SALES_REAL,SALES_RESE,SALES_ACCO,SALES_LIVI,SALES_EDUC,SALES_MEDI,SALES_COMP,SALES_OSERV,MANU_OFFICE,MANU_WORKER,MANU_SHIP,MANU_ADD,SHIP_FOOD,SHIP_TEXT,SHIP_WOOD,SHIP_PAPE,SHIP_CHEM,SHIP_PETR,SHIP_LEAT,SHIP_META,SHIP_MACH,SHIP_ELEC,SHIP_VEHI,SHIP_OMANU,SL_OFFICE,SL_WORKER,SL_SALES,WH_OFFICE,WH_WORKER,WH_SALES,RE_OFFICE,RE_WORKER,RE_SALES,RE_AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11102,143446,16.86,4916,60739,4681,4,611,4066,60739,35,11271,49433,313175,1774421,245,0,135072,352610,X,10756,57005,974998,14508,36880,34318,19618,39414,4600,51484,X,39078,93,4962,26642496,17451168,1857023,53544,0,18702,19647831,779568,0,2193323,1647101,0,118514,91526,1149,14469,895246,550,7297,749825,599,7172,145421,158204
11103,113864,12.8,8319,117464,7546,3,535,7008,117464,16,8796,108652,797201,4739319,195,0,445971,28890,55845,157939,202051,1803530,816213,295996,58386,63426,176970,28395,352303,1088,252121,38,712,1363659,499717,0,0,0,29580,0,0,0,0,74441,0,0,484342,1682,20213,1636345,513,8085,1294077,1169,12128,342268,246220
11104,161960,30.69,4243,41812,4063,9,765,3289,41812,49,7828,33935,156036,756761,434,0,99114,60155,X,6086,12606,412270,20351,12791,5112,14211,32722,10680,49383,X,20006,88,2760,5439634,1690885,826493,34289,0,22443,0,539780,117583,76050,2947274,387775,58605,47986,801,8429,379879,243,2651,268138,558,5778,111741,104510
11105,98762,8.39,3263,43454,3030,1,404,2625,43454,6,4569,38879,275104,2157249,X,0,87987,41775,X,10895,18122,606632,198463,25353,25533,17940,7774,4435,1027215,11342,67361,68,1455,2587495,1027335,112424,0,0,570696,0,101244,81741,216432,297929,190672,976669,0,562,7679,401059,159,2910,283651,403,4769,117408,95443
11106,97910,18.64,2551,28346,2410,2,583,1825,28346,19,6548,21779,112550,569083,X,0,52576,95059,X,5259,18603,297842,2674,7298,3143,6322,22571,17147,22987,387,14405,125,3645,8871552,4675139,1484315,0,33581,1031618,1787364,187289,146126,172038,1785734,1955643,0,32775,419,5166,255558,160,1933,189053,259,3233,66504,60082
11107,154416,11.51,6337,66443,5923,1,371,5551,66443,9,4438,61996,303946,1618594,X,0,182636,8104,X,86181,21734,374996,284466,76320,30292,34166,55305,19480,360382,774,83428,35,552,587434,308338,10549,0,0,39731,0,0,37574,0,173972,0,0,0,1057,9769,317575,165,1600,139145,892,8169,178430,143773
11108,180152,13.82,4741,51943,4453,2,670,3781,51943,8,6938,44997,389743,2350152,-,0,100603,106486,X,11033,48843,809494,1006283,83131,23583,20002,31441,11609,68571,X,28566,121,2745,9887567,3995358,7099206,0,124865,549217,0,279290,67314,233889,419934,517484,0,492132,751,8868,758430,241,2723,641081,510,6145,117349,128707
11109,116522,26.44,2985,28289,2843,19,564,2260,28289,125,3972,24192,105444,463073,587,0,61698,18857,X,877,35717,252392,5741,11346,4994,13361,9396,8758,27450,X,11418,89,896,1586679,677650,0,0,13656,239214,63916,191280,17415,105299,66144,32815,24308,328660,614,7121,232361,154,1325,99446,460,5796,132915,150616
11110,109801,49.17,4388,46925,4189,7,1275,2907,46925,62,14460,32403,177965,844867,227,0,64236,271579,0,345,96910,253098,16280,13737,4824,11566,38412,11380,30176,10367,21731,349,9273,25623831,8574111,3121792,343641,707300,2463492,298825,2963859,187729,3997568,2207772,483702,3810735,719244,728,6562,228317,198,1603,127423,530,4959,100894,115829
11201,350745,109.13,11131,141082,10657,15,2085,8557,141082,192,31665,109225,604591,3124787,1405,X,234372,1127180,X,15592,101718,862900,247484,66409,26139,49831,106060,39644,135205,23743,85632,519,22186,109753688,42722802,8733834,118400,99060,4686080,36307684,3733658,991145,4306441,14249428,28106029,7265028,288645,2182,23435,766096,490,6400,418209,1692,17035,347887,322186
