CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_ACCO,IND_MEDI
dummy,,,,,,,,,,,,,,,,,,,,,
06210,62140,-54,113.01,549.9,22589,1161,39650,8060,35110,18761,531,,,,,,,,,,
06211,47682,-86,206.94,230.4,16573,1100,16300,6548,27344,13441,322,,,,,,,,,,
06212,14971,-1982,372.53,40.2,4883,-226,0,1459,7278,6232,80,,,,,,,,,,
06213,30420,-1865,160.52,189.5,10760,55,6308,3516,16493,10339,269,,,,,,,,,,
06301,13725,-644,61.45,223.4,4551,111,7235,1626,7372,4715,47,,,,,,,,,,
06302,10746,-617,31.15,345,3515,88,0,1132,5779,3835,57,,,,,,,,,,
06321,17641,-1311,52.45,336.3,5929,64,6187,1908,9078,6639,181,,,,,,,,,,
06322,4956,-680,393.19,12.6,1686,-99,0,425,2265,2262,42,,,,,,,,,,
06323,6366,-753,196.81,32.3,2150,-92,0,561,2976,2828,52,,,,,,,,,,
06324,7646,-826,154.08,49.6,2543,-89,0,761,3850,3035,87,,,,,,,,,,
06341,6577,-780,79.54,82.7,2086,-57,0,603,3342,2632,78,,,,,,,,,,
06361,5071,-758,161.67,31.4,1572,-71,0,547,2646,1878,57,,,,,,,,,,
06362,8080,-822,330.37,24.5,2596,-69,0,838,3982,3260,82,,,,,,,,,,
06363,5007,-624,119.04,42.1,1580,-41,0,483,2421,2103,33,,,,,,,,,,
06364,7203,-934,374.22,19.2,2320,-158,0,689,3508,3006,35,,,,,,,,,,
06365,3028,-384,211.63,14.3,945,-71,0,335,1505,1188,16,,,,,,,,,,
06366,3902,-415,122.14,31.9,1193,-31,0,380,1942,1580,26,,,,,,,,,,
06367,4199,-574,261.31,16.1,1359,-31,0,367,2128,1704,60,,,,,,,,,,
06381,22463,-1419,180.26,124.6,7358,140,0,2709,12134,7597,196,,,,,,,,,,
06382,14558,-1193,166.6,87.4,4495,-58,0,1497,7370,5682,68,,,,,,,,,,
06401,7107,-761,737.56,9.6,2810,-35,0,688,3527,2882,56,,,,,,,,,,
06402,12890,-1285,157.71,81.7,4389,-16,0,1382,6515,4990,121,,,,,,,,,,
06403,6613,-691,329.41,20.1,2125,-73,0,755,3300,2555,48,,,,,,,,,,
06426,7601,-127,33.22,228.8,2332,109,0,994,3929,2664,30,,,,,,,,,,
06428,20151,-1515,249.17,80.9,6650,13,0,2161,10362,7578,106,,,,,,,,,,
06461,13032,-1175,208.39,62.5,4432,-77,0,1210,6312,5507,65,,,,,,,,,,
07201,282693,-11554,767.72,368.2,121919,-350,185024,31136,160024,84304,1772,,,,,,,,,,
07202,117376,-6686,382.97,306.5,49022,-409,84370,13716,65104,36307,738,,,,,,,,,,
07203,327692,-7752,757.2,432.8,140441,2131,245463,39177,193417,86479,2561,,,,,,,,,,
07204,332931,-17306,1232.26,270.2,141411,342,143992,37979,184720,102319,2439,,,,,,,,,,
07205,59491,-2422,305.32,194.8,23763,759,20631,6995,34109,17546,574,,,,,,,,,,
07207,74992,-2449,279.43,268.4,27127,782,33639,9537,43226,21188,375,,,,,,,,,,
07208,44760,-4617,554.63,80.7,16049,-703,11112,4905,23375,16479,216,,,,,,,,,,
07209,34865,-3691,197.79,176.3,13875,-1334,7568,4215,19325,10792,178,,,,,,,,,,
07210,53557,-4605,344.42,155.5,19384,-426,9377,5760,29073,18406,344,,,,,,,,,,
07211,35169,-3334,458.33,76.7,12159,-575,0,3626,18763,12609,311,,,,,,,,,,
07212,59005,1208,398.58,148,26349,405,21054,5099,30626,20796,403,,,,,,,,,,
07213,58240,-4160,265.12,219.7,21158,-466,10888,5961,31100,21008,401,,,,,,,,,,
07214,30236,-688,88.02,343.5,10571,522,0,3881,17765,8579,186,,,,,,,,,,
07301,11459,-812,42.97,266.7,4194,-82,0,1200,5895,4347,35,,,,,,,,,,
07303,8639,-873,37.95,227.6,3123,-168,0,727,4268,3642,59,,,,,,,,,,
07308,12170,-2282,127.7,95.3,4780,-735,0,940,6005,5096,105,,,,,,,,,,
07322,8900,221,79.44,112,2874,255,0,1322,5095,2455,47,,,,,,,,,,
07342,12318,-168,31.3,393.5,4382,177,0,1684,7187,3441,50,,,,,,,,,,
07344,5194,-417,225.52,23,1671,33,0,530,2748,1916,56,,,,,,,,,,
07362,5264,-536,317.04,16.6,1953,-49,0,476,2428,2360,15,,,,,,,,,,
07364,504,-111,390.46,1.3,228,-29,0,58,252,194,0,,,,,,,,,,
07367,4044,-426,747.56,5.4,1634,-128,0,353,1783,1907,30,,,,,,,,,,
07368,14451,-1813,886.47,16.3,5894,-352,0,1331,7030,6048,68,,,,,,,,,,
07402,2556,-275,234.08,10.9,1003,-5,0,258,1349,948,35,,,,,,,,,,
07405,5770,-812,298.18,19.4,2352,-179,0,468,2582,2718,38,,,,,,,,,,
07407,3322,-257,59.77,55.6,1079,-38,0,421,1655,1246,9,,,,,,,,,,
07408,13552,-1485,394.85,34.3,4718,-221,0,1422,6723,5360,64,,,,,,,,,,
07421,15068,-1235,91.59,164.5,5306,-85,0,1611,7909,5522,127,,,,,,,,,,
07422,3081,-125,16.37,188.2,976,70,0,421,1594,1066,8,,,,,,,,,,
07423,3081,-455,175.82,17.5,1127,-80,0,310,1374,1397,7,,,,,,,,,,
07444,1452,-216,90.81,16,644,-30,0,96,573,783,8,,,,,,,,,,
07445,1862,-327,293.92,6.3,878,-78,0,89,638,1134,11,,,,,,,,,,
07446,1246,-76,209.46,5.9,626,10,0,66,487,693,4,,,,,,,,,,
07447,19014,-1899,276.33,68.8,6465,-245,0,1904,9438,7528,38,,,,,,,,,,
07461,20808,486,192.06,108.3,8092,634,0,2805,12432,5185,243,,,,,,,,,,
07464,6213,-282,35.43,175.4,2089,30,0,776,3451,1986,118,,,,,,,,,,
07465,4885,-116,18.92,258.2,1520,125,0,632,2774,1479,35,,,,,,,,,,
07466,17287,-83,60.4,286.2,6102,256,0,2132,9723,5429,163,,,,,,,,,,
07481,13343,-952,159.93,83.4,4728,-25,0,1630,7372,4258,71,,,,,,,,,,
07482,5392,-558,118.27,45.6,1867,-54,0,600,2666,2126,23,,,,,,,,,,
07483,8302,-855,211.41,39.3,2935,-108,0,865,4214,3196,87,,,,,,,,,,
07484,3049,-528,131.34,23.2,1006,-58,0,316,1512,1221,18,,,,,,,,,,
07501,14644,-1236,115.71,126.6,5214,-30,0,1424,7719,5430,108,,,,,,,,,,
07502,6392,-385,46.67,137,1980,6,0,795,3565,2024,71,,,,,,,,,,
07503,5826,-679,93.42,62.4,1953,-36,0,584,3179,2057,120,,,,,,,,,,
07504,6036,-541,37.43,161.3,2070,15,0,682,3272,2055,23,,,,,,,,,,
07505,4825,-548,163.29,29.5,1610,-51,0,499,2433,1893,58,,,,,,,,,,
07521,17018,-1286,72.76,233.9,5977,-253,0,1842,9177,5882,58,,,,,,,,,,
07522,9471,-1004,125.18,75.7,3398,-27,0,969,5074,3384,142,,,,,,,,,,
07541,5412,1093,58.69,92.2,2899,464,0,384,2958,1558,75,,,,,,,,,,
07542,3710,2735,103.64,35.8,1977,1138,0,259,1996,1388,22,,,,,,,,,,
07543,2128,2128,68.39,31.1,1640,1640,0,60,1382,482,10,,,,,,,,,,
07544,2044,23,197.35,10.4,934,-148,0,116,883,974,32,,,,,,,,,,
07545,847,847,78.71,10.8,800,800,0,1,754,87,1,,,,,,,,,,
07546,0,0,51.42,0,0,0,0,0,0,0,0,,,,,,,,,,
07547,1923,1923,223.14,8.6,1405,1405,0,52,1056,568,5,,,,,,,,,,
07548,420,402,84.37,5,205,196,0,24,198,198,4,,,,,,,,,,
07561,7905,-313,46.7,169.3,2748,49,0,997,4286,2597,50,,,,,,,,,,
07564,1318,1277,230.13,5.7,627,626,0,34,525,755,19,,,,,,,,,,
08201,270685,-98,217.32,1245.6,122598,5008,174150,33685,158472,70922,2818,,,,,,,,,,
08202,174508,-10546,225.86,772.6,77911,-714,145634,17585,97706,56525,1493,,,,,,,,,,
08203,142074,1270,122.89,1156.1,63093,5836,84286,15510,82307,40903,3650,,,,,,,,,,
08204,139344,-1602,123.58,1127.6,56149,3578,58854,16213,82127,39691,3020,,,,,,,,,,
08205,73061,-2959,215.53,339,28344,1056,26454,7543,40001,23972,1011,,,,,,,,,,
08207,50645,-949,65.76,770.1,19328,1061,22246,6065,28719,15388,2057,,,,,,,,,,
08208,76420,-1922,78.59,972.4,32158,1686,50195,8264,44619,22113,1910,,,,,,,,,,
08210,42521,-772,80.88,525.7,16407,1371,5726,5034,24731,12043,1948,,,,,,,,,,
08211,60834,-649,123.64,492,22289,1689,11176,6942,35001,18316,4755,,,,,,,,,,
08212,48602,-3692,371.99,130.7,19243,-193,8402,4303,25419,18808,174,,,,,,,,,,
08214,27699,-1939,193.58,143.1,11608,-143,7321,2686,14805,9900,194,,,,,,,,,,
08215,41801,-2611,186.79,223.8,17042,171,0,4368,22846,14335,341,,,,,,,,,,
08216,73173,-3566,240.4,304.4,28918,716,5138,8235,40639,23420,672,,,,,,,,,,
08217,104524,-2046,69.94,1494.5,45447,1970,76946,10593,56760,36052,1392,,,,,,,,,,
08219,84651,334,58.92,1436.7,35195,1972,69115,10834,48124,24561,1373,,,,,,,,,,
08220,241656,14693,283.72,851.7,110490,12300,92467,34645,143552,45697,6556,,,,,,,,,,
08221,156581,892,99.97,1566.3,66754,5650,104805,19610,93439,40234,1578,,,,,,,,,,
08222,66950,-929,106.02,631.5,28318,868,20551,8142,36902,20737,879,,,,,,,,,,
08223,27604,-1507,71.4,386.6,10774,227,0,2953,15322,9078,342,,,,,,,,,,
08224,68421,3668,35.71,1916,27385,2518,50700,10301,41920,15847,1127,,,,,,,,,,
08225,39267,-3320,348.45,112.7,15643,-362,0,3632,20414,14627,243,,,,,,,,,,
08226,53502,-774,97.82,546.9,20931,906,8659,6294,29694,17194,253,,,,,,,,,,
08227,100753,-3820,205.3,490.8,37491,1808,14061,11040,56749,32004,2371,,,,,,,,,,
08228,52265,-1822,123.03,424.8,18452,1125,8754,5897,30067,15772,2242,,,,,,,,,,
08229,39039,-3771,205.81,189.7,14552,99,0,3393,21055,14329,1022,,,,,,,,,,
08230,40087,-2060,156.6,256,15271,129,15859,4376,22859,12779,1016,,,,,,,,,,
08231,39122,-3510,180.06,217.3,13453,-132,0,3985,21579,13423,284,,,,,,,,,,
08232,95454,932,146.97,649.5,40487,3266,25866,12569,59856,22162,2656,,,,,,,,,,
08233,32185,-2724,222.48,144.7,11144,29,0,3215,17362,11604,931,,,,,,,,,,
08234,45953,-2194,207.6,221.4,17919,489,0,4647,25268,15454,2474,,,,,,,,,,
08235,49872,736,79.16,630,19971,1834,12778,7350,27180,13152,424,,,,,,,,,,
08236,48870,-2041,144.74,337.6,18407,916,0,5631,28053,14724,1300,,,,,,,,,,
08302,31401,-1520,121.58,258.3,11758,402,0,3271,17040,10983,547,,,,,,,,,,
08309,15715,-1171,23.89,657.8,6596,-65,10891,1538,8766,5225,704,,,,,,,,,,
08310,18097,-1703,161.8,111.8,6913,-153,0,1559,9746,6774,66,,,,,,,,,,
08341,37891,178,38,997.1,15429,935,16516,5399,22581,9517,285,,,,,,,,,,
08364,15736,-2317,325.76,48.3,6356,-377,0,1183,7262,7266,82,,,,,,,,,,
08442,14602,-1240,66.61,219.2,5864,-94,0,1472,8425,4677,303,,,,,,,,,,
08443,48553,1018,71.4,680,20225,1424,28024,5983,28352,13360,865,,,,,,,,,,
