CODE,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KOKUMIN,H_KYOSAN,H_REIWA,H_SHAMIN,H_NHK,H_SANSEI,H_OTHER
dummy,,,,,,,,,,,,,,,,
20521,12059,7201,7044,7200,6866 ,2327.342 ,793.000 ,1610.542 ,680.170 ,192.457 ,556.000 ,214.000 ,137.000 ,127.000 ,182.406 ,46.080 
20541,9204,5479,5335,5479,5272 ,1952.931 ,352.000 ,1277.434 ,565.000 ,135.565 ,353.708 ,183.068 ,136.000 ,100.000 ,168.291 ,48.000 
20543,5715,3540,3459,3540,3354 ,1426.999 ,293.000 ,566.680 ,279.000 ,96.319 ,299.000 ,131.000 ,82.000 ,48.000 ,105.000 ,27.000 
20561,10200,5651,5516,5651,5422 ,2184.212 ,500.000 ,1155.269 ,507.368 ,157.730 ,279.787 ,203.050 ,126.000 ,108.000 ,158.580 ,42.000 
20562,3852,2447,2397,2447,2314 ,903.000 ,146.000 ,550.555 ,224.000 ,53.444 ,196.619 ,75.000 ,61.000 ,37.000 ,52.380 ,15.000 
20563,2919,1960,1913,1960,1891 ,815.545 ,120.000 ,403.847 ,171.272 ,46.152 ,134.000 ,81.000 ,31.000 ,26.000 ,50.181 ,12.000 
20583,6983,4067,3974,4064,3901 ,1293.000 ,309.000 ,888.554 ,396.578 ,93.445 ,374.000 ,174.000 ,120.000 ,79.000 ,133.421 ,40.000 
20588,2102,1522,1485,1522,1451 ,571.000 ,114.000 ,344.875 ,134.000 ,34.125 ,108.000 ,54.000 ,33.000 ,16.000 ,32.000 ,10.000 
20590,9317,5373,5248,5372,5147 ,1822.974 ,397.000 ,1149.440 ,506.000 ,149.559 ,488.000 ,194.024 ,157.000 ,87.000 ,156.000 ,40.000 
20602,1508,1172,1147,1172,1116 ,512.000 ,88.000 ,241.630 ,51.000 ,22.369 ,110.000 ,29.000 ,23.000 ,11.000 ,20.000 ,8.000 
21000,1646587 ,882366 ,856007 ,882365 ,857748 ,331743.532 ,96371.949 ,103903.192 ,89918.014 ,76730.312 ,49611.779 ,35638.415 ,13904.536 ,20524.747 ,29297.468 ,10098.828 
21201,335939 ,157309 ,152063 ,157303 ,153087 ,53367.622 ,19541.630 ,18183.747 ,17928.969 ,13102.343 ,9675.063 ,6731.539 ,2605.030 ,4118.723 ,6054.091 ,1778.225 
21202,130334 ,66674 ,64988 ,66675 ,64958 ,25533.543 ,6289.316 ,7194.929 ,7123.158 ,6961.047 ,3856.535 ,2622.286 ,986.000 ,1609.521 ,2006.626 ,775.027 
21203,71721 ,45743 ,44284 ,45740 ,44548 ,20069.182 ,4535.708 ,5161.584 ,3879.094 ,3131.547 ,2347.000 ,1770.550 ,710.037 ,876.291 ,1487.000 ,580.000 
21204,90880 ,48189 ,46522 ,48203 ,47110 ,15705.471 ,5744.051 ,6476.235 ,5495.191 ,4597.712 ,2680.297 ,2160.223 ,966.085 ,1118.695 ,1656.000 ,510.030 
21205,71286 ,37078 ,35963 ,37077 ,36031 ,13305.750 ,4811.033 ,4677.275 ,3639.766 ,3121.702 ,2173.459 ,1457.444 ,453.285 ,816.047 ,1192.603 ,382.623 
