CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_ACCO,IND_MEDI,IND_EDUC,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11235,104748,1501,19.7,5317.2,42010,-,91465,15022,73643,16067,1127,73754,25081,851,5465,17839,850,1,1,2810,2654,49,316,1447,4585,569,668,1505,2679,1421,141,3718,741,926
11237,128278,-2769,30.21,4246.2,47195,-,116561,17581,92695,17961,2039,105526,50260,926,17581,28777,926,0,1,6257,11323,242,359,4092,8352,590,641,1844,3543,1712,363,5837,1202,2976
11238,63474,-912,27.27,2327.6,22528,-,40759,8024,43939,11499,264,49479,19826,935,5948,12509,934,1,0,1967,3981,28,132,1600,3450,247,193,946,2239,823,194,2136,521,434
11239,98964,1583,40.97,2415.5,38826,-,67728,13031,70605,15199,1383,90313,36030,774,11841,22602,768,6,3,2760,9078,161,330,1602,6292,570,531,1849,2815,2483,398,4624,947,813
11240,54006,-2407,33.95,1590.8,18666,-,34341,6491,38058,9456,492,43559,18373,669,6091,11267,669,0,1,1540,4550,45,44,938,3395,239,142,871,1711,758,222,2196,706,346
11241,69783,2145,17.73,3935.9,26556,-,55048,9803,51155,8823,667,53810,22877,367,6473,15534,367,0,0,1712,4761,41,206,1280,5108,600,324,1523,1770,956,64,3186,476,503
11242,53619,-139,47.5,1128.8,18484,-,31672,6881,37160,9471,434,45601,21084,947,7830,11908,947,0,11,1874,5945,54,169,1777,2862,148,129,734,1690,802,211,2905,427,399
11243,60284,3611,31.62,1906.5,20428,-,45682,9605,42310,8116,517,49772,23365,720,7806,13838,720,0,0,2128,5678,43,135,2788,3738,267,231,994,1506,790,199,2573,574,1001
11245,101960,1842,14.67,6950.2,40098,-,93353,14617,70043,17298,753,82084,32770,564,9855,21583,563,1,0,3315,6540,35,414,1179,6174,1251,637,1955,2627,1498,316,4349,1148,768
11301,36535,4319,14.8,2468.6,12665,-,17290,5925,25652,4955,148,36183,15494,431,5699,9029,431,0,0,1472,4227,21,45,1411,2189,113,98,414,1871,919,26,1608,314,335
11324,37050,1298,15.3,2421.6,12904,-,26914,5209,25419,6420,288,41937,23819,801,10102,12473,801,0,0,1563,8539,122,207,3676,2895,51,114,462,1308,470,265,2612,291,443
11326,39122,-589,34.03,1149.6,14783,-,23497,4477,27534,6823,285,33759,13528,404,2534,10499,404,0,1,971,1562,55,27,324,1978,141,158,621,4297,997,40,1481,380,91
11327,13356,-362,40.44,330.3,4484,-,0,1750,8783,2812,65,11434,4230,182,1291,2703,182,0,1,482,808,7,9,155,673,42,28,293,255,322,109,669,141,54
11341,15434,2598,29.71,519.5,5084,-,0,2218,10675,2541,168,15118,7593,441,3423,3666,441,0,1,550,2872,18,50,799,660,22,56,244,526,203,41,855,192,63
11342,19479,-337,29.85,652.6,6452,-,10485,2431,13339,3707,166,19386,9730,432,4211,4936,432,0,0,585,3626,8,33,474,1231,66,61,341,954,357,71,1108,232,151
11343,35401,-1900,60.45,585.6,11711,-,8941,4303,23889,7207,171,27423,11347,590,3414,7243,590,0,17,751,2646,19,64,428,1830,166,75,514,1402,564,202,1543,436,100
11344,7777,-517,41.39,187.9,2450,-,0,926,5149,1702,42,5532,2253,174,888,1135,174,0,0,217,671,5,8,56,290,18,3,88,177,93,17,271,109,56
11345,5494,-178,14.38,382.1,1733,-,0,686,3703,1105,61,5972,3486,160,1979,1305,160,0,0,216,1763,0,8,104,343,1,16,83,191,118,10,356,75,42
11346,22906,-416,41.72,549,6801,-,0,2999,15669,4238,114,19924,10484,1081,4837,4376,1079,2,1,1081,3755,12,21,648,1149,34,17,230,523,375,110,1033,224,190
11347,22217,-29,38.63,575.1,6642,-,0,3182,15132,3871,75,18693,9424,1086,4367,3864,1084,2,0,859,3508,48,7,770,878,26,23,189,383,273,116,960,191,107
11348,15985,-1023,25.71,621.7,5148,-,8885,1608,11086,3291,59,14137,4319,314,985,2984,314,0,0,408,577,9,58,62,438,14,36,130,570,574,54,801,238,36
11361,9684,-98,49.35,196.2,3128,-,0,1483,5995,2206,34,7954,3147,181,1422,1534,181,0,66,375,981,2,18,224,322,25,12,155,189,138,19,334,96,10
11362,11518,-681,63.61,181.1,3771,-,0,1442,7032,3044,48,10597,4736,284,1424,3024,284,0,47,407,970,16,9,340,939,56,13,212,459,179,79,613,109,4
11363,8352,-208,30.4,274.7,2704,-,0,1134,5151,2067,12,7118,3189,215,1244,1728,215,0,0,229,1015,12,6,165,357,8,10,375,175,124,44,350,102,2
11365,14479,-582,171.45,84.5,4582,-,0,1863,8744,3872,106,13406,6442,656,2975,2802,656,0,9,642,2324,15,7,240,693,58,11,262,512,265,94,457,188,9
11369,3795,-324,37.17,102.1,1108,-,0,443,2281,1071,13,2760,970,143,357,465,143,0,34,98,225,2,1,11,95,5,1,28,116,56,21,65,64,5
11381,11963,-144,33.48,357.3,3441,-,0,1593,7715,2655,38,11894,6748,795,3499,2382,793,2,0,436,3063,8,13,326,478,25,5,116,473,121,54,634,129,72
11382,21150,-59,52.99,399.1,6946,-,0,3112,13832,4206,208,21179,10919,830,4542,5436,830,0,1,852,3689,2,60,908,1425,153,35,362,494,352,137,1162,346,111
11383,13819,-4,23.17,596.4,4413,-,0,2123,9050,2646,338,13535,7341,858,3852,2596,858,0,12,441,3399,9,44,429,568,9,38,161,391,160,48,606,133,35
11384,1243,-131,24.25,51.3,417,-,0,129,727,387,11,1188,611,98,163,348,98,0,5,23,135,0,0,26,40,0,0,38,43,36,9,109,47,2
11385,30855,729,29.21,1056.3,10199,-,0,4982,20928,4934,836,25210,11714,1215,4965,5335,1215,0,24,819,4122,9,42,444,1774,60,54,476,804,328,95,982,267,199
11402,13568,-351,22.85,593.8,3891,-,0,1629,9622,2315,90,12780,7248,475,2927,3787,475,0,0,516,2411,9,8,248,765,18,15,374,1044,229,27,886,164,59
11405,18305,-189,30.59,598.4,5783,-,0,2362,12241,3695,107,18014,8672,1506,3468,3608,1506,0,0,617,2851,32,16,368,928,51,29,211,421,365,82,938,167,90
11406,11992,106,21.77,550.8,3576,-,0,1700,7932,2360,65,12061,6662,618,2968,2910,618,0,2,419,2547,11,14,415,942,56,17,161,342,186,104,548,114,166
11407,12635,-13,15.82,798.7,3962,-,0,1786,8506,2336,148,11040,5592,806,2118,2629,806,0,10,528,1580,4,33,260,790,21,14,300,309,119,59,533,187,39
11408,37061,-663,64.17,577.5,12448,-,5296,5039,24478,7538,322,32041,14904,1081,5206,8379,1080,1,39,1267,3900,44,110,736,2451,176,90,583,1214,534,177,1880,384,238
11421,20007,-375,28.6,699.5,5901,-,6093,2756,13559,3692,224,17292,9048,1128,3306,4543,1128,0,0,754,2552,17,9,1054,1221,65,31,216,475,349,97,815,194,71
11422,4095,-127,5.82,703.6,1190,-,0,587,2679,829,15,2788,874,150,276,446,149,1,0,141,135,3,1,18,128,2,1,15,89,60,8,67,54,2
11424,13307,-476,21,633.7,4043,-,0,1787,9111,2409,71,9747,4019,626,1790,1573,622,4,0,351,1439,5,3,214,342,12,10,73,230,171,55,319,139,30
11425,14521,-646,24.47,593.4,4480,-,0,1851,9753,2892,39,15073,8770,606,4451,3645,604,2,0,536,3915,7,39,1441,800,4,13,123,279,133,52,616,138,68
11442,34620,-573,15.95,2170.5,13008,-,22938,3920,24493,6207,294,26958,7759,468,1620,5457,467,1,0,868,752,6,47,346,1324,73,102,419,719,873,44,1225,279,214
11445,48389,1390,24.88,1944.9,16135,-,25387,7086,33355,7922,181,37218,14612,783,3453,9976,783,0,0,1278,2175,14,65,1945,2752,192,141,484,1334,603,152,1725,569,400
