CODE,POPULATION,HOUSE,POP_INCREASE,HOU_INCREASE,AREA,POP_U15,POP_O15,POP_O65
dummy,,,,,,,,
46206,19270,8617,-1928,-579,134.28,1967,9177,8050
46208,35402,15718,-1146,272,229.68,4514,18694,11668
46401,3759,1653,-339,-60,30.6,465,1831,1453
46402,12833,5425,-279,76,69.78,1843,6614,4251
46210,26122,11845,-1371,-313,78.25,3347,13193,9474
46322,7881,3701,-832,-220,37.18,792,3563,3518
46324,5008,2244,-617,-186,33.45,415,2172,2419
46213,14708,7046,-1259,-322,205.66,1820,7284,5598
46214,13819,6560,-1701,-428,162.12,1270,6482,5898
46202,70360,31120,-784,1234,265.44,10383,39383,19854
46381,5948,2523,-586,-169,64.18,642,2684,2598
46382,4130,1801,-597,-190,72.38,439,1828,1860
46383,4822,2026,-466,-111,80.15,631,2349,1842
46387,3160,1371,-504,-159,82.56,300,1336,1524
46388,1026,509,-125,-14,17.31,119,385,522
46389,1022,584,-225,-111,35.11,61,406,555
46390,1582,867,-326,-125,57.61,135,696,751
46391,353,194,-60,-46,8.68,40,122,191
46362,10747,4584,-957,-192,70.9,1236,5146,4347
46363,24893,9821,300,379,55.83,3835,13808,7205
46366,4367,1935,-551,-142,29.25,393,2062,1905
46367,7146,3075,-888,-279,96.99,670,3307,3169
46461,9212,4449,-1087,-306,145.58,939,4229,4034
46463,9032,4081,-612,-148,115.72,1063,4349,3610
46464,15066,6795,-1548,-355,129.09,1652,7241,6153
46212,58735,26737,596,1573,122.51,9245,35127,12824
46444,7642,3403,-429,-100,63.5,1118,4107,2380
46445,3632,1751,-595,-191,70.45,323,1712,1588
46448,6115,3009,-1040,-397,129.66,442,2619,3018
46449,4293,1996,-621,-169,82.54,348,1880,2044
46450,38014,16700,116,728,66.49,5724,21847,9924
46451,4704,1990,-749,-192,68.52,337,2229,2127
46205,21347,9395,-1445,-177,80.46,2438,11085,7788
46361,6143,2579,-347,-8,31.56,727,3022,2384
46211,20564,8764,-573,-114,94.37,2621,10673,6894
46341,2036,974,-484,-240,39.88,70,702,1143
46342,1674,832,-268,-98,38.19,123,683,863
46343,2621,1312,-560,-222,38.61,183,1005,1432
46368,5992,2562,-667,-243,72.25,659,2635,2684
46465,3607,1580,-370,-125,49.81,416,1651,1538
46466,15713,7293,-1107,-290,141.61,2068,8014,5460
46467,10009,4368,-673,-213,98.05,1532,4914,3515
46207,34838,16518,-1378,74,127.6,4935,19194,10614
46526,1188,606,-104,-19,118.13,99,529,560
46528,5364,2524,-284,-34,60.19,651,2445,2267
46323,10561,4588,-1344,-348,110.31,1137,5104,4319
46344,10522,4711,-947,-244,120.19,1167,5227,4124
46345,11997,5186,-981,-272,127.35,1380,5807,4804
46209,17473,8109,-1392,-425,291.88,2024,8220,7192
46421,6980,3285,-965,-291,100.48,730,3270,2974
46441,20739,9009,-905,-39,47.5,2446,10948,7271
46442,49740,21192,2709,1624,103.3,7755,27267,14325
46443,5869,2649,-629,-170,80.5,777,2734,2350
46303,405,218,-2,-5,31.39,95,203,107
46304,740,426,-16,-1,101.14,143,393,204
46384,13691,6233,-1267,-229,145.95,1566,6647,5435
46385,3640,1577,-467,-133,77.99,409,1646,1585
46386,2912,1421,-423,-97,79.49,224,1260,1427
46403,5843,2336,-363,-109,71.05,879,2863,2100
46404,3862,1645,-363,-47,45.05,505,1905,1445
46446,5887,2668,-573,-93,89.85,634,2617,2635
