CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_RESE,IND_ACCO,IND_LIVI,IND_EDUC,IND_MEDI,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24210,51023,1770,190.91,267.3,19213,-,8359,7311,32400,10957,1477,52074,27345,682,13118,11294,682,0,8,1193,11917,63,75,2161,2418,247,151,275,936,777,790,1498,127,1284,555,2188
24211,21435,-1632,107.99,198.5,8057,-,0,2468,12541,6374,120,22300,11681,1334,1412,8286,123,1211,19,509,884,28,24,514,1474,141,73,103,3048,354,610,673,160,638,474,621
24212,19662,-1568,373.63,52.6,9008,-,0,2078,10301,7252,75,20490,8389,661,1440,6188,497,164,14,890,536,37,41,395,1497,157,54,145,655,290,575,1228,116,436,599,63
24214,45684,-762,219.58,208.1,15972,-,0,6345,29043,10282,1001,48517,27662,586,16239,10272,585,1,62,1208,14969,32,31,1510,2061,211,47,308,796,889,661,2092,246,979,441,533
24215,54694,-3531,179.72,304.3,20553,-,0,6212,30835,17588,272,50947,22810,2464,3853,15572,562,1902,4,1832,2017,87,110,611,3480,317,177,332,3021,1421,982,2786,333,1371,631,834
24216,97207,-3416,558.17,174.2,34915,-,20612,12164,58146,26733,3978,101252,52847,2563,20855,25443,2562,1,36,2513,18306,208,180,2589,6172,672,285,690,2160,1855,1734,4535,549,2615,1407,3778
24303,6855,-110,15.72,436.1,2250,-,0,797,4466,1592,206,6070,3322,452,1555,1277,413,39,0,258,1297,1,4,285,292,3,26,25,96,45,63,202,25,146,65,37
24324,25661,-236,22.66,1132.4,8580,-,12761,3373,16946,5289,411,20537,8961,114,4708,3879,112,2,3,459,4246,10,14,327,918,76,35,118,299,310,293,921,61,320,187,250
24341,39978,992,106.89,374,13568,-,12054,6123,24553,9051,521,34216,14949,401,5569,8047,398,3,19,1379,4171,29,43,817,1860,158,131,175,958,608,607,1713,81,578,318,903
24343,9626,2512,5.99,1607,3389,-,0,2025,5801,1757,88,9014,4145,59,2424,1522,59,0,0,200,2224,7,24,207,292,25,27,61,137,97,121,260,12,164,95,133
24344,14003,955,8.71,1607.7,5601,-,9011,2312,9035,2487,293,14288,7051,70,2523,3907,62,8,0,636,1887,272,43,830,1052,60,140,119,287,255,263,355,14,375,114,279
24441,15438,-355,103.17,149.6,5278,-,0,1935,8961,4417,99,16482,8796,908,4360,3260,908,0,5,407,3948,45,14,322,779,58,12,103,262,145,273,715,70,351,156,223
24442,22833,215,40.92,558,7422,-,0,3307,13829,5668,146,19710,8743,720,2552,5172,625,95,0,717,1835,15,15,556,1563,82,53,129,309,235,397,1078,164,396,195,284
24443,10416,-683,362.94,28.7,3906,-,0,1170,5552,3689,83,9820,4188,396,1234,2478,391,5,23,389,822,53,4,170,602,38,12,49,205,106,236,601,63,159,233,27
24461,15297,466,40.94,373.6,5064,-,0,2444,9367,3475,133,15179,8042,538,4144,3022,538,0,0,510,3634,10,13,221,713,28,22,94,229,288,303,701,69,230,111,328
24470,8692,-365,134.97,64.4,2605,-,0,1166,5160,2365,32,6592,2324,238,697,1361,237,1,10,358,329,3,0,44,299,6,1,55,85,46,210,273,126,118,98,25
24471,9846,-942,233.54,42.2,3912,-,0,943,4947,3930,89,9039,3754,417,1367,1947,265,152,5,379,983,14,3,101,469,10,6,26,157,91,125,575,85,130,169,9
24472,14791,-1896,242.98,60.9,5926,-,0,1300,7101,6387,66,13581,5170,1310,979,2825,359,951,51,499,429,13,1,159,733,40,14,121,212,191,225,536,166,230,197,43
24543,18611,-1352,257.01,72.4,8088,-,0,1984,9779,6781,268,17977,7994,826,2454,4570,255,571,16,1154,1284,24,10,339,1241,129,47,59,466,225,333,1030,103,307,281,120
24561,9376,-527,88.28,106.2,4000,-,0,1252,4974,3150,22,8929,4054,1258,494,2278,1230,28,9,299,186,6,3,137,476,26,28,51,135,74,194,769,112,147,126,18
24562,11896,-752,79.66,149.3,5123,-,0,1627,6857,3379,67,10160,3789,337,1573,1752,329,8,5,525,1043,7,4,112,385,26,23,34,145,82,180,410,39,164,148,120
25201,337634,13915,464.1,727.5,130335,-,262946,49390,216319,68825,3626,310912,128876,1760,25278,90538,1652,108,20,8487,16771,1051,1928,4701,19151,4467,2171,5160,8616,5243,7270,16723,617,7735,6756,10249
25202,112156,2377,196.84,569.8,43896,-,61577,16514,71225,22660,1606,114070,53411,985,16660,32365,949,36,5,3248,13407,336,379,2157,9203,1213,588,1324,3254,1829,3004,4991,396,2759,1268,3065
25203,124131,-367,680.79,182.3,43015,-,32528,18203,74715,29125,2637,122326,57983,2048,21244,31733,1992,56,1,3532,17711,74,279,2552,8099,871,422,898,3138,1597,2687,6481,523,2555,1631,2884
25204,81738,1128,177.39,460.8,28617,-,34924,11614,52044,17610,1199,74153,31273,1537,7996,20155,1378,159,1,2145,5850,61,185,1562,5973,588,340,877,1959,1018,1690,3453,264,1476,770,1524
25206,130874,9715,67.92,1926.9,57318,-,89093,18752,89186,21427,1988,142677,69175,918,23304,40607,886,32,0,3680,19624,233,913,2486,10293,1892,1311,1965,4400,2245,4271,5653,264,3482,1432,4113
25207,76560,5737,55.73,1373.8,26819,-,50675,13168,48596,13060,601,69654,30561,1000,9403,19255,981,19,0,1974,7429,46,121,1742,4763,477,457,782,1623,998,1385,3987,247,1881,792,857
25208,63655,3786,52.75,1206.7,22614,-,35527,12412,41828,9283,812,64183,32809,671,10988,19877,671,0,6,2628,8354,25,324,2450,5331,365,480,732,1273,2578,1188,2490,168,1825,673,1248
25209,92704,-1149,481.69,192.5,31074,-,16561,13632,58002,20365,2225,91171,46142,1720,18992,23482,1719,1,36,2580,16376,86,111,1861,6120,574,266,845,1818,2249,1703,4160,461,2141,1173,1862
25210,49955,469,80.15,623.3,17476,-,23313,7573,32084,9969,433,48673,25236,902,10705,12454,895,7,7,1176,9522,44,93,1518,2911,184,212,637,881,648,977,2617,139,1194,443,1131
25211,54614,-711,70.49,774.8,20463,-,20441,8045,37155,9015,1899,51729,26217,332,12381,12203,332,0,6,1296,11079,26,46,2458,2669,242,225,402,850,601,982,2062,94,1082,490,1275
25212,52486,-1464,693,75.7,18132,-,0,6702,31098,14640,494,49105,22565,1615,7502,13055,1547,68,19,2034,5449,74,43,669,3084,287,158,343,1197,760,959,2716,369,899,1571,319
25213,115479,-1318,388.58,297.2,38941,-,31654,17689,72126,24632,2325,107956,51921,2478,21205,25294,2471,7,15,3808,17382,174,317,2497,6223,681,300,781,1887,1327,2145,4831,599,2268,1438,2770
25214,40060,-949,250.46,159.9,12952,-,0,5754,24057,10138,456,35833,15718,767,6107,8042,747,20,63,951,5093,19,145,1121,1612,139,73,461,726,315,700,1260,217,749,524,783
25383,22870,61,117.63,194.4,7678,-,0,3043,14217,5553,381,21825,11270,619,5335,4825,617,2,3,632,4700,11,50,550,1010,110,32,141,262,472,360,915,125,508,290,480
25384,12916,-364,44.52,290.1,4413,-,0,1720,8756,2440,81,16464,11611,552,7446,3504,552,0,0,489,6957,10,15,455,1264,44,30,113,437,188,152,304,46,319,137,99
25425,20118,389,37.95,530.1,6761,-,0,3451,12577,3981,618,20136,10581,271,5403,4348,264,7,1,622,4780,7,21,567,1382,100,66,215,223,220,316,541,84,430,183,552
25441,7566,148,7.82,967.5,2541,-,0,1074,4569,1853,94,7307,3287,108,859,2229,108,0,0,193,666,2,5,281,533,27,15,26,164,60,99,718,41,155,105,89
25442,7500,-603,13.62,550.7,2320,-,0,1009,4569,1919,47,6813,2879,62,1500,1191,62,0,0,352,1148,4,4,101,253,14,2,13,79,39,234,162,18,170,102,122
25443,7761,-384,135.93,57.1,2383,-,0,1008,4460,2293,15,8315,4405,174,2113,2060,173,1,3,261,1849,6,18,516,358,31,24,70,220,75,100,286,35,234,93,52
26101,122037,-2229,94.92,1285.7,56406,-,114407,13425,75381,28551,1986,129464,48630,736,6865,34897,735,1,0,2305,4560,330,505,1554,8304,723,1303,1543,4351,1909,5493,6173,136,2271,632,5802
26102,83264,-270,7.11,11710.8,43389,-,83264,7715,52614,20330,1692,97833,47955,67,7619,36141,67,0,0,1378,6241,90,1014,597,7612,532,1267,1705,3792,1491,3824,6591,149,2621,4946,4038
26103,168802,-785,246.88,683.7,82067,-,151865,17430,106712,38490,4736,176443,71367,523,7296,56402,522,1,1,3416,3879,122,903,1848,10538,1770,2016,2827,7280,2356,11098,10134,240,4075,1317,7024
26104,105306,3177,7.38,14269.1,55772,-,105306,10350,64392,22841,1706,155123,95754,130,15463,74359,130,0,2,3570,11891,108,3835,1533,20330,3747,2732,5067,10974,4291,4054,7592,212,5539,4453,5694
26105,40528,-1936,7.46,5432.7,21114,-,40278,2836,25012,11951,663,56253,28905,43,3703,22559,42,1,0,824,2879,65,404,411,4730,220,630,777,6421,1235,1763,3109,91,2149,619,2535
26106,79287,3850,6.82,11625.7,43651,-,79287,7428,51295,17214,1250,135656,93763,117,10964,75049,116,1,0,2574,8390,822,3241,3535,26912,6702,2571,3736,8819,2927,2785,5233,338,6863,1387,6811
26107,98744,551,15.78,6257.5,45036,-,98051,12103,65700,20899,4565,136137,83737,398,27813,48502,398,0,0,5071,22742,839,1953,9025,15971,1242,1240,1826,3635,1669,1636,3959,148,5008,1190,6185
26108,202943,587,291.95,695.1,90808,-,191654,24374,128242,45918,4730,189617,81005,1049,20687,49595,1048,1,11,4987,15689,156,1239,4128,13095,1356,1918,2258,5688,3030,4134,7211,326,4022,1190,9518
