CODE,POPULATION,HOUSE,MOVEIN1,BIRTH1,ADD1,MOVEOUT1,DEATH1,DELETE1,INCR1,SOC_INCR1,NAT_INCR1,INCR5,SOC_INCR5,NAT_INCR5,BIRTH5,DEATH5,INCR10,SOC_INCR10,NAT_INCR10,BIRTH10,DEATH10,FOREIGNER,POP_U15,POP_O15,POP_O65,AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,
26465,21040,9033,433,95,533,530,322,870,-337,-97,-227,-1926,-889,-1020,611,1631,-3354,-1570,-1871,1366,3237,101,2236,11058,7746,108.38
27102,105550,57766,7090,771,7923,6540,1149,7941,-18,550,-378,2826,4747,-994,4193,5187,6155,6234,-1153,8784,9937,3412,12187,67636,25727,6.08
27103,78144,43064,6558,874,7470,5825,550,6496,974,733,324,6947,6189,1128,4065,2937,13027,10233,2082,7965,5883,1670,9890,53250,15004,4.67
27104,65992,34921,3689,430,4145,3536,766,4450,-305,153,-336,-1824,4,-1230,2542,3772,-87,1008,-1714,5668,7382,2086,7545,40404,18043,19.28
27106,103118,61929,11436,1028,12533,9953,646,10990,1543,1483,382,11845,10619,2610,5672,3062,25204,19107,4888,10839,5951,4712,12631,74435,16052,5.21
27107,80744,44500,4950,532,5535,4537,1007,5729,-194,413,-475,-1594,1309,-2061,2841,4902,-2633,-152,-3445,6004,9449,3296,8464,50356,21924,7.86
27108,64243,33875,2520,384,2944,2632,891,3638,-694,-112,-507,-2933,-120,-2365,2003,4368,-5701,-1693,-4407,4217,8624,1767,6539,37523,20181,9.43
27109,79613,41496,7310,726,8108,5873,612,6816,1292,1437,114,6003,6502,774,3752,2978,15811,12156,1498,7346,5848,4654,11293,52680,15640,4.84
27111,70134,50820,11850,570,12485,10077,668,11610,875,1773,-98,5412,9248,-385,3021,3406,17886,18375,-709,5938,6647,9238,5203,52317,12614,4.39
27113,97769,50889,5990,721,6765,5272,1036,6527,238,718,-315,666,2856,-1330,3717,5047,1842,2200,-2053,7938,9991,4532,11092,62016,24661,14.21
27114,172542,100780,12428,1243,13800,11355,1820,13644,156,1073,-577,1261,5528,-2443,6444,8887,5000,4895,-2696,14219,16915,7168,17092,112721,42729,13.27
27115,84619,47757,7758,627,8457,6558,904,7815,642,1200,-277,3656,6161,-1235,3211,4446,10573,7469,-2258,6524,8782,7344,8839,54706,21074,4.54
27116,127030,72213,9429,889,10609,8183,1901,11031,-422,1246,-1012,-874,7241,-5204,4173,9377,23151,7840,-9191,8405,17596,27627,11940,77198,37892,8.37
27117,90279,48874,5347,609,6008,4725,1181,6035,-27,622,-572,-854,2258,-2591,3256,5847,-1232,2022,-4682,6724,11406,2316,9500,54042,26737,6.32
27118,171040,88253,9896,1458,11447,9142,1807,11305,142,754,-349,3107,5837,-1495,7241,8736,7893,7241,-2215,14605,16820,5367,20658,107076,43306,8.38
27119,111246,55828,7405,850,8328,6449,1160,7895,433,956,-310,3084,5424,-1332,4345,5677,8865,10330,-2463,8638,11101,3399,14484,68908,27854,5.98
27120,152827,81109,8365,1124,9570,7778,1803,9861,-291,587,-679,-1108,2679,-2922,5867,8789,851,2847,-4534,12328,16862,4446,17246,93314,42267,9.4
27121,131843,69637,8210,945,9221,6648,1746,8636,585,1562,-801,1064,5834,-3852,4745,8597,2016,6898,-6798,9635,16433,3830,14706,79830,37307,9.75
27122,105586,72602,9196,396,9697,6764,2632,10098,-401,2432,-2236,-3506,10273,-10978,2275,13253,-2914,16079,-21177,4935,26112,10016,7187,58404,39995,7.37
27123,180268,105742,15342,1463,16935,13378,1644,15573,1362,1964,-181,7218,9692,-550,7504,8054,15947,13650,-306,15405,15711,7420,18383,120679,41206,12.64
27124,113342,52197,5315,1012,6386,4880,1056,6054,332,435,-44,359,255,376,5414,5038,3474,-141,2121,11881,9760,2098,16750,71202,25390,8.17
27125,120405,63762,5252,722,6061,5452,1567,7277,-1216,-200,-845,-3475,622,-3390,3928,7318,-5694,-2264,-5271,8605,13876,4202,12820,70831,36754,20.68
27126,194688,99970,8842,1277,10258,9005,2530,11927,-1669,-163,-1253,-5026,1206,-4842,7084,11926,-2463,-925,-7403,15372,22775,8801,21802,118277,54609,15.28
27127,133180,82774,15041,1309,16472,12234,993,13595,2877,2807,316,15294,14917,1788,6557,4769,32472,27866,2872,12059,9187,5775,13615,95134,24431,10.34
27128,105761,68596,16096,1014,17240,12506,628,13911,3329,3590,386,10860,11821,1842,5012,3170,31548,25917,3286,9465,6179,8947,10489,78890,16382,8.87
27141,146590,78119,8161,1030,9254,7709,1653,9665,-411,452,-623,-91,4067,-3257,5118,8375,2614,6319,-5787,10638,16425,5058,16052,89898,40640,23.66
27142,122144,55968,4591,906,5566,4988,1250,6342,-776,-397,-344,-3017,-1707,-1023,4997,6020,-1868,-1884,-633,10802,11435,1569,16510,73010,32623,17.88
27143,86603,39934,3821,609,4467,3149,964,4157,310,672,-355,-456,909,-1334,3192,4526,124,1787,-2138,6475,8613,868,11013,49421,26169,10.49
